,ID,entrez_id
441,DB00110,2215
442,DB00110,715
443,DB00110,712
444,DB00110,713
445,DB00110,714
446,DB00110,2214
447,DB00110,2209
448,DB00110,2212
449,DB00110,2213
450,DB00110,9103
451,DB00111,3559
452,DB00111,3560
453,DB00111,2215
454,DB00111,715
455,DB00111,712
456,DB00111,713
457,DB00111,714
458,DB00111,2214
459,DB00111,2209
460,DB00111,2212
461,DB00111,2213
462,DB00111,9103
463,DB00112,7422
464,DB00112,2215
465,DB00112,715
466,DB00112,712
467,DB00112,713
468,DB00112,714
469,DB00112,2214
470,DB00112,2209
471,DB00112,2212
472,DB00112,2213
473,DB00112,9103
474,DB00113,634
475,DB00114,64902
476,DB00114,2571
477,DB00114,875
478,DB00114,8942
479,DB00114,6470
480,DB00114,9054
481,DB00114,2805
482,DB00114,4942
483,DB00114,4953
484,DB00114,51166
485,DB00114,18
486,DB00114,55163
487,DB00114,8879
488,DB00114,6898
489,DB00114,
490,DB00114,79896
491,DB00114,5836
492,DB00114,9517
493,DB00114,51380
494,DB00114,3067
495,DB00114,113451
496,DB00114,10993
497,DB00114,23464
498,DB00114,2731
499,DB00114,2875
500,DB00114,29968
501,DB00114,211
502,DB00114,189
503,DB00114,57026
504,DB00114,10558
505,DB00114,1491
506,DB00114,586
507,DB00114,587
508,DB00114,
509,DB00114,10841
510,DB00114,2806
511,DB00114,5834
512,DB00114,5837
513,DB00114,1644
514,DB00114,
515,DB00114,211
516,DB00114,2572
517,DB00114,1644
518,DB00114,23042
519,DB00114,
520,DB00114,339896
521,DB00114,51540
522,DB00114,285313
523,DB00114,85007
524,DB00114,2571
525,DB00114,6472
526,DB00114,212
527,DB00114,84706
528,DB00114,55034
529,DB00114,113675
530,DB00114,
531,DB00114,63826
532,DB00114,51091
533,DB00114,55304
534,DB00114,
535,DB00114,
536,DB00115,4548
537,DB00115,
538,DB00115,4552
539,DB00115,166785
540,DB00115,25974
541,DB00115,4524
542,DB00115,326625
543,DB00115,
544,DB00115,81693
545,DB00115,6947
546,DB00115,6948
547,DB00115,
548,DB00115,8029
549,DB00115,4036
550,DB00115,4363
551,DB00116,4522
552,DB00116,10797
553,DB00116,275
554,DB00116,10840
555,DB00116,4548
556,DB00116,10841
557,DB00116,471
558,DB00116,6470
559,DB00116,6472
560,DB00116,4524
561,DB00116,123263
562,DB00116,1244
563,DB00117,3067
564,DB00117,
565,DB00117,10991
566,DB00117,3034
567,DB00117,117247
568,DB00118,27232
